--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Bamako Mali (Havana)? : Cuba
grandpa grandma (his)? : her
grandpa grandma (husband)? : wife
grandpa grandma (man)? : woman
grandpa grandma (prince)? : princess
grandpa grandma (son)? : daughter
grandpa grandma (sons)? : daughters
grandpa grandma (boy)? : girl
grandpa grandma (father)? : mother
grandson granddaughter (man)? : woman
groom bride (his)? : her
groom bride (sons)? : daughters
he she (his)? : her
he she (husband)? : wife
he she (man)? : woman
he she (sons)? : daughters
he she (boy)? : girl
his her (husband)? : wife
his her (boy)? : girl
his her (he)? : she
husband wife (man)? : woman
husband wife (prince)? : princess
husband wife (boy)? : girl
husband wife (father)? : mother
husband wife (he)? : she
husband wife (his)? : her
king queen (he)? : she
king queen (his)? : her
king queen (husband)? : wife
man woman (boy)? : girl
man woman (his)? : her
man woman (husband)? : wife
policeman policewoman (prince)? : princess
policeman policewoman (boy)? : girl
policeman policewoman (father)? : mother
policeman policewoman (grandfather)? : grandmother
policeman policewoman (he)? : she
policeman policewoman (his)? : her
policeman policewoman (husband)? : wife
policeman policewoman (man)? : woman
prince princess (boy)? : girl
prince princess (he)? : she
prince princess (husband)? : wife
prince princess (man)? : woman
son daughter (boy)? : girl
son daughter (he)? : she
son daughter (his)? : her
son daughter (husband)? : wife
son daughter (man)? : woman
sons daughters (boy)? : girl
sons daughters (father)? : mother
sons daughters (he)? : she
sons daughters (his)? : her
sons daughters (husband)? : wife
sons daughters (man)? : woman
sons daughters (prince)? : princess
stepbrother stepsister (boy)? : girl
stepbrother stepsister (he)? : she
stepbrother stepsister (husband)? : wife
stepbrother stepsister (man)? : woman
stepfather stepmother (boy)? : girl
stepfather stepmother (his)? : her
stepfather stepmother (husband)? : wife
stepfather stepmother (man)? : woman
stepson stepdaughter (boy)? : girl
stepson stepdaughter (he)? : she
stepson stepdaughter (his)? : her
stepson stepdaughter (husband)? : wife
stepson stepdaughter (man)? : woman
stepson stepdaughter (prince)? : princess
uncle aunt (husband)? : wife
uncle aunt (man)? : woman

--------------------- gram1-adjective-to-averb.txt---------------------
amazing amazingly (cheerful)? : cheerfully
amazing amazingly (efficient)? : efficiently
amazing amazingly (fortunate)? : fortunately
amazing amazingly (free)? : freely
amazing amazingly (immediate)? : immediately
amazing amazingly (infrequent)? : infrequently
amazing amazingly (occasional)? : occasionally
amazing amazingly (precise)? : precisely
amazing amazingly (professional)? : professionally
amazing amazingly (quiet)? : quietly
amazing amazingly (rapid)? : rapidly
amazing amazingly (reluctant)? : reluctantly
amazing amazingly (safe)? : safely
amazing amazingly (serious)? : seriously
amazing amazingly (sudden)? : suddenly
amazing amazingly (swift)? : swiftly
amazing amazingly (typical)? : typically
amazing amazingly (unfortunate)? : unfortunately
apparent apparently (cheerful)? : cheerfully
apparent apparently (efficient)? : efficiently
apparent apparently (fortunate)? : fortunately
apparent apparently (immediate)? : immediately
apparent apparently (infrequent)? : infrequently
apparent apparently (occasional)? : occasionally
apparent apparently (precise)? : precisely
apparent apparently (rapid)? : rapidly
apparent apparently (rare)? : rarely
apparent apparently (reluctant)? : reluctantly
apparent apparently (safe)? : safely
apparent apparently (serious)? : seriously
apparent apparently (unfortunate)? : unfortunately
calm calmly (cheerful)? : cheerfully
calm calmly (efficient)? : efficiently
calm calmly (fortunate)? : fortunately
calm calmly (free)? : freely
calm calmly (immediate)? : immediately
calm calmly (infrequent)? : infrequently
calm calmly (obvious)? : obviously
calm calmly (occasional)? : occasionally
calm calmly (quiet)? : quietly
calm calmly (reluctant)? : reluctantly
calm calmly (safe)? : safely
calm calmly (serious)? : seriously
calm calmly (unfortunate)? : unfortunately
calm calmly (amazing)? : amazingly
cheerful cheerfully (efficient)? : efficiently
cheerful cheerfully (fortunate)? : fortunately
cheerful cheerfully (free)? : freely
cheerful cheerfully (immediate)? : immediately
cheerful cheerfully (infrequent)? : infrequently
cheerful cheerfully (obvious)? : obviously
cheerful cheerfully (occasional)? : occasionally
cheerful cheerfully (precise)? : precisely
cheerful cheerfully (professional)? : professionally
cheerful cheerfully (quiet)? : quietly
cheerful cheerfully (rapid)? : rapidly
cheerful cheerfully (reluctant)? : reluctantly
cheerful cheerfully (safe)? : safely
cheerful cheerfully (serious)? : seriously
cheerful cheerfully (sudden)? : suddenly
cheerful cheerfully (swift)? : swiftly
cheerful cheerfully (typical)? : typically
cheerful cheerfully (unfortunate)? : unfortunately
cheerful cheerfully (amazing)? : amazingly
complete completely (efficient)? : efficiently
complete completely (fortunate)? : fortunately
complete completely (infrequent)? : infrequently
complete completely (occasional)? : occasionally
complete completely (rapid)? : rapidly
complete completely (reluctant)? : reluctantly
complete completely (serious)? : seriously
complete completely (typical)? : typically
complete completely (unfortunate)? : unfortunately
complete completely (amazing)? : amazingly
complete completely (cheerful)? : cheerfully
efficient efficiently (fortunate)? : fortunately
efficient efficiently (free)? : freely
efficient efficiently (immediate)? : immediately
efficient efficiently (infrequent)? : infrequently
efficient efficiently (obvious)? : obviously
efficient efficiently (occasional)? : occasionally
efficient efficiently (precise)? : precisely
efficient efficiently (professional)? : professionally
efficient efficiently (quiet)? : quietly
efficient efficiently (rapid)? : rapidly
efficient efficiently (reluctant)? : reluctantly
efficient efficiently (safe)? : safely
efficient efficiently (serious)? : seriously
efficient efficiently (sudden)? : suddenly
efficient efficiently (swift)? : swiftly
efficient efficiently (typical)? : typically
efficient efficiently (unfortunate)? : unfortunately
efficient efficiently (amazing)? : amazingly
efficient efficiently (cheerful)? : cheerfully
fortunate fortunately (free)? : freely
fortunate fortunately (immediate)? : immediately
fortunate fortunately (infrequent)? : infrequently
fortunate fortunately (obvious)? : obviously
fortunate fortunately (occasional)? : occasionally
fortunate fortunately (precise)? : precisely
fortunate fortunately (professional)? : professionally
fortunate fortunately (quiet)? : quietly
fortunate fortunately (rapid)? : rapidly
fortunate fortunately (reluctant)? : reluctantly
fortunate fortunately (safe)? : safely
fortunate fortunately (serious)? : seriously
fortunate fortunately (sudden)? : suddenly
fortunate fortunately (swift)? : swiftly
fortunate fortunately (typical)? : typically
fortunate fortunately (unfortunate)? : unfortunately
fortunate fortunately (amazing)? : amazingly
fortunate fortunately (cheerful)? : cheerfully
fortunate fortunately (efficient)? : efficiently
free freely (immediate)? : immediately
free freely (infrequent)? : infrequently
free freely (obvious)? : obviously
free freely (occasional)? : occasionally
free freely (precise)? : precisely
free freely (quiet)? : quietly
free freely (reluctant)? : reluctantly
free freely (safe)? : safely
free freely (serious)? : seriously
free freely (sudden)? : suddenly
free freely (swift)? : swiftly
free freely (typical)? : typically
free freely (unfortunate)? : unfortunately
free freely (amazing)? : amazingly
free freely (cheerful)? : cheerfully
free freely (efficient)? : efficiently
free freely (fortunate)? : fortunately
furious furiously (immediate)? : immediately
furious furiously (infrequent)? : infrequently
furious furiously (obvious)? : obviously
furious furiously (occasional)? : occasionally
furious furiously (precise)? : precisely
furious furiously (professional)? : professionally
furious furiously (quiet)? : quietly
furious furiously (rapid)? : rapidly
furious furiously (reluctant)? : reluctantly
furious furiously (safe)? : safely
furious furiously (serious)? : seriously
furious furiously (sudden)? : suddenly
furious furiously (swift)? : swiftly
furious furiously (typical)? : typically
furious furiously (unfortunate)? : unfortunately
furious furiously (amazing)? : amazingly
furious furiously (cheerful)? : cheerfully
furious furiously (efficient)? : efficiently
furious furiously (fortunate)? : fortunately
furious furiously (free)? : freely
happy happily (immediate)? : immediately
happy happily (infrequent)? : infrequently
happy happily (occasional)? : occasionally
happy happily (professional)? : professionally
happy happily (quiet)? : quietly
happy happily (rare)? : rarely
happy happily (reluctant)? : reluctantly
happy happily (serious)? : seriously
happy happily (sudden)? : suddenly
happy happily (swift)? : swiftly
happy happily (unfortunate)? : unfortunately
happy happily (amazing)? : amazingly
happy happily (cheerful)? : cheerfully
happy happily (efficient)? : efficiently
happy happily (fortunate)? : fortunately
happy happily (free)? : freely
immediate immediately (infrequent)? : infrequently
immediate immediately (occasional)? : occasionally
immediate immediately (quiet)? : quietly
immediate immediately (reluctant)? : reluctantly
immediate immediately (safe)? : safely
immediate immediately (serious)? : seriously
immediate immediately (swift)? : swiftly
immediate immediately (typical)? : typically
immediate immediately (unfortunate)? : unfortunately
immediate immediately (amazing)? : amazingly
immediate immediately (cheerful)? : cheerfully
immediate immediately (efficient)? : efficiently
immediate immediately (fortunate)? : fortunately
infrequent infrequently (obvious)? : obviously
infrequent infrequently (possible)? : possibly
infrequent infrequently (precise)? : precisely
infrequent infrequently (professional)? : professionally
infrequent infrequently (quiet)? : quietly
infrequent infrequently (rapid)? : rapidly
infrequent infrequently (reluctant)? : reluctantly
infrequent infrequently (safe)? : safely
infrequent infrequently (serious)? : seriously
infrequent infrequently (sudden)? : suddenly
infrequent infrequently (swift)? : swiftly
infrequent infrequently (typical)? : typically
infrequent infrequently (unfortunate)? : unfortunately
infrequent infrequently (amazing)? : amazingly
infrequent infrequently (cheerful)? : cheerfully
infrequent infrequently (efficient)? : efficiently
infrequent infrequently (fortunate)? : fortunately
infrequent infrequently (free)? : freely
infrequent infrequently (immediate)? : immediately
lucky luckily (obvious)? : obviously
lucky luckily (occasional)? : occasionally
lucky luckily (precise)? : precisely
lucky luckily (reluctant)? : reluctantly
lucky luckily (safe)? : safely
lucky luckily (serious)? : seriously
lucky luckily (swift)? : swiftly
lucky luckily (unfortunate)? : unfortunately
lucky luckily (amazing)? : amazingly
lucky luckily (cheerful)? : cheerfully
lucky luckily (efficient)? : efficiently
lucky luckily (fortunate)? : fortunately
lucky luckily (free)? : freely
lucky luckily (infrequent)? : infrequently
most mostly (precise)? : precisely
most mostly (rapid)? : rapidly
most mostly (reluctant)? : reluctantly
most mostly (safe)? : safely
most mostly (serious)? : seriously
most mostly (unfortunate)? : unfortunately
most mostly (amazing)? : amazingly
most mostly (cheerful)? : cheerfully
most mostly (efficient)? : efficiently
most mostly (fortunate)? : fortunately
most mostly (free)? : freely
most mostly (infrequent)? : infrequently
obvious obviously (occasional)? : occasionally
obvious obviously (professional)? : professionally
obvious obviously (quiet)? : quietly
obvious obviously (rapid)? : rapidly
obvious obviously (reluctant)? : reluctantly
obvious obviously (safe)? : safely
obvious obviously (serious)? : seriously
obvious obviously (sudden)? : suddenly
obvious obviously (swift)? : swiftly
obvious obviously (unfortunate)? : unfortunately
obvious obviously (amazing)? : amazingly
obvious obviously (cheerful)? : cheerfully
obvious obviously (efficient)? : efficiently
obvious obviously (fortunate)? : fortunately
obvious obviously (free)? : freely
obvious obviously (immediate)? : immediately
obvious obviously (infrequent)? : infrequently
occasional occasionally (quiet)? : quietly
occasional occasionally (reluctant)? : reluctantly
occasional occasionally (safe)? : safely
occasional occasionally (serious)? : seriously
occasional occasionally (sudden)? : suddenly
occasional occasionally (swift)? : swiftly
occasional occasionally (unfortunate)? : unfortunately
occasional occasionally (amazing)? : amazingly
occasional occasionally (cheerful)? : cheerfully
occasional occasionally (efficient)? : efficiently
occasional occasionally (fortunate)? : fortunately
occasional occasionally (free)? : freely
occasional occasionally (immediate)? : immediately
occasional occasionally (infrequent)? : infrequently
occasional occasionally (obvious)? : obviously
possible possibly (precise)? : precisely
possible possibly (professional)? : professionally
possible possibly (quiet)? : quietly
possible possibly (reluctant)? : reluctantly
possible possibly (safe)? : safely
possible possibly (serious)? : seriously
possible possibly (swift)? : swiftly
possible possibly (unfortunate)? : unfortunately
possible possibly (amazing)? : amazingly
possible possibly (cheerful)? : cheerfully
possible possibly (efficient)? : efficiently
possible possibly (fortunate)? : fortunately
possible possibly (free)? : freely
possible possibly (infrequent)? : infrequently
possible possibly (occasional)? : occasionally
precise precisely (professional)? : professionally
precise precisely (quiet)? : quietly
precise precisely (reluctant)? : reluctantly
precise precisely (serious)? : seriously
precise precisely (swift)? : swiftly
precise precisely (typical)? : typically
precise precisely (unfortunate)? : unfortunately
precise precisely (amazing)? : amazingly
precise precisely (cheerful)? : cheerfully
precise precisely (efficient)? : efficiently
precise precisely (fortunate)? : fortunately
precise precisely (free)? : freely
precise precisely (immediate)? : immediately
precise precisely (infrequent)? : infrequently
precise precisely (obvious)? : obviously
precise precisely (occasional)? : occasionally
professional professionally (quiet)? : quietly
professional professionally (rapid)? : rapidly
professional professionally (reluctant)? : reluctantly
professional professionally (safe)? : safely
professional professionally (serious)? : seriously
professional professionally (sudden)? : suddenly
professional professionally (swift)? : swiftly
professional professionally (typical)? : typically
professional professionally (unfortunate)? : unfortunately
professional professionally (amazing)? : amazingly
professional professionally (cheerful)? : cheerfully
professional professionally (efficient)? : efficiently
professional professionally (fortunate)? : fortunately
professional professionally (free)? : freely
professional professionally (immediate)? : immediately
professional professionally (infrequent)? : infrequently
professional professionally (obvious)? : obviously
professional professionally (precise)? : precisely
quick quickly (reluctant)? : reluctantly
quick quickly (safe)? : safely
quick quickly (serious)? : seriously
quick quickly (typical)? : typically
quick quickly (unfortunate)? : unfortunately
quick quickly (amazing)? : amazingly
quick quickly (cheerful)? : cheerfully
quick quickly (efficient)? : efficiently
quick quickly (fortunate)? : fortunately
quick quickly (infrequent)? : infrequently
quiet quietly (rapid)? : rapidly
quiet quietly (reluctant)? : reluctantly
quiet quietly (safe)? : safely
quiet quietly (serious)? : seriously
quiet quietly (swift)? : swiftly
quiet quietly (typical)? : typically
quiet quietly (unfortunate)? : unfortunately
quiet quietly (amazing)? : amazingly
quiet quietly (cheerful)? : cheerfully
quiet quietly (efficient)? : efficiently
quiet quietly (fortunate)? : fortunately
quiet quietly (free)? : freely
quiet quietly (immediate)? : immediately
quiet quietly (infrequent)? : infrequently
quiet quietly (obvious)? : obviously
quiet quietly (occasional)? : occasionally
quiet quietly (professional)? : professionally
rapid rapidly (reluctant)? : reluctantly
rapid rapidly (safe)? : safely
rapid rapidly (serious)? : seriously
rapid rapidly (typical)? : typically
rapid rapidly (unfortunate)? : unfortunately
rapid rapidly (amazing)? : amazingly
rapid rapidly (cheerful)? : cheerfully
rapid rapidly (efficient)? : efficiently
rapid rapidly (fortunate)? : fortunately
rapid rapidly (infrequent)? : infrequently
rapid rapidly (professional)? : professionally
rapid rapidly (quiet)? : quietly
rare rarely (reluctant)? : reluctantly
rare rarely (safe)? : safely
rare rarely (serious)? : seriously
rare rarely (sudden)? : suddenly
rare rarely (unfortunate)? : unfortunately
rare rarely (amazing)? : amazingly
rare rarely (cheerful)? : cheerfully
rare rarely (efficient)? : efficiently
rare rarely (fortunate)? : fortunately
rare rarely (free)? : freely
rare rarely (immediate)? : immediately
rare rarely (possible)? : possibly
rare rarely (quiet)? : quietly
reluctant reluctantly (safe)? : safely
reluctant reluctantly (serious)? : seriously
reluctant reluctantly (sudden)? : suddenly
reluctant reluctantly (swift)? : swiftly
reluctant reluctantly (typical)? : typically
reluctant reluctantly (unfortunate)? : unfortunately
reluctant reluctantly (amazing)? : amazingly
reluctant reluctantly (cheerful)? : cheerfully
reluctant reluctantly (efficient)? : efficiently
reluctant reluctantly (fortunate)? : fortunately
reluctant reluctantly (free)? : freely
reluctant reluctantly (infrequent)? : infrequently
reluctant reluctantly (obvious)? : obviously
reluctant reluctantly (occasional)? : occasionally
reluctant reluctantly (precise)? : precisely
reluctant reluctantly (professional)? : professionally
reluctant reluctantly (quiet)? : quietly
reluctant reluctantly (rapid)? : rapidly
reluctant reluctantly (rare)? : rarely
safe safely (serious)? : seriously
safe safely (sudden)? : suddenly
safe safely (swift)? : swiftly
safe safely (typical)? : typically
safe safely (unfortunate)? : unfortunately
safe safely (amazing)? : amazingly
safe safely (cheerful)? : cheerfully
safe safely (efficient)? : efficiently
safe safely (fortunate)? : fortunately
safe safely (free)? : freely
safe safely (immediate)? : immediately
safe safely (infrequent)? : infrequently
safe safely (obvious)? : obviously
safe safely (occasional)? : occasionally
safe safely (professional)? : professionally
safe safely (quiet)? : quietly
safe safely (rapid)? : rapidly
safe safely (reluctant)? : reluctantly
serious seriously (swift)? : swiftly
serious seriously (typical)? : typically
serious seriously (unfortunate)? : unfortunately
serious seriously (amazing)? : amazingly
serious seriously (cheerful)? : cheerfully
serious seriously (efficient)? : efficiently
serious seriously (fortunate)? : fortunately
serious seriously (free)? : freely
serious seriously (immediate)? : immediately
serious seriously (infrequent)? : infrequently
serious seriously (occasional)? : occasionally
serious seriously (precise)? : precisely
serious seriously (professional)? : professionally
serious seriously (quiet)? : quietly
serious seriously (rapid)? : rapidly
serious seriously (rare)? : rarely
serious seriously (reluctant)? : reluctantly
serious seriously (safe)? : safely
slow slowly (typical)? : typically
slow slowly (unfortunate)? : unfortunately
slow slowly (amazing)? : amazingly
slow slowly (cheerful)? : cheerfully
slow slowly (efficient)? : efficiently
slow slowly (fortunate)? : fortunately
slow slowly (free)? : freely
slow slowly (infrequent)? : infrequently
slow slowly (occasional)? : occasionally
slow slowly (professional)? : professionally
slow slowly (quiet)? : quietly
slow slowly (reluctant)? : reluctantly
slow slowly (safe)? : safely
slow slowly (serious)? : seriously
sudden suddenly (typical)? : typically
sudden suddenly (unfortunate)? : unfortunately
sudden suddenly (amazing)? : amazingly
sudden suddenly (cheerful)? : cheerfully
sudden suddenly (efficient)? : efficiently
sudden suddenly (fortunate)? : fortunately
sudden suddenly (free)? : freely
sudden suddenly (infrequent)? : infrequently
sudden suddenly (occasional)? : occasionally
sudden suddenly (reluctant)? : reluctantly
sudden suddenly (safe)? : safely
sudden suddenly (serious)? : seriously
swift swiftly (typical)? : typically
swift swiftly (unfortunate)? : unfortunately
swift swiftly (amazing)? : amazingly
swift swiftly (cheerful)? : cheerfully
swift swiftly (efficient)? : efficiently
swift swiftly (fortunate)? : fortunately
swift swiftly (free)? : freely
swift swiftly (immediate)? : immediately
swift swiftly (infrequent)? : infrequently
swift swiftly (obvious)? : obviously
swift swiftly (occasional)? : occasionally
swift swiftly (reluctant)? : reluctantly
swift swiftly (safe)? : safely
swift swiftly (serious)? : seriously
typical typically (unfortunate)? : unfortunately
typical typically (amazing)? : amazingly
typical typically (cheerful)? : cheerfully
typical typically (efficient)? : efficiently
typical typically (fortunate)? : fortunately
typical typically (free)? : freely
typical typically (immediate)? : immediately
typical typically (infrequent)? : infrequently
typical typically (obvious)? : obviously
typical typically (precise)? : precisely
typical typically (quiet)? : quietly
typical typically (rapid)? : rapidly
typical typically (reluctant)? : reluctantly
typical typically (safe)? : safely
typical typically (serious)? : seriously
typical typically (sudden)? : suddenly
typical typically (swift)? : swiftly
unfortunate unfortunately (amazing)? : amazingly
unfortunate unfortunately (cheerful)? : cheerfully
unfortunate unfortunately (efficient)? : efficiently
unfortunate unfortunately (fortunate)? : fortunately
unfortunate unfortunately (free)? : freely
unfortunate unfortunately (immediate)? : immediately
unfortunate unfortunately (infrequent)? : infrequently
unfortunate unfortunately (obvious)? : obviously
unfortunate unfortunately (occasional)? : occasionally
unfortunate unfortunately (precise)? : precisely
unfortunate unfortunately (professional)? : professionally
unfortunate unfortunately (quiet)? : quietly
unfortunate unfortunately (rapid)? : rapidly
unfortunate unfortunately (reluctant)? : reluctantly
unfortunate unfortunately (safe)? : safely
unfortunate unfortunately (serious)? : seriously
unfortunate unfortunately (sudden)? : suddenly
unfortunate unfortunately (swift)? : swiftly
unfortunate unfortunately (typical)? : typically
usual usually (amazing)? : amazingly
usual usually (cheerful)? : cheerfully
usual usually (efficient)? : efficiently
usual usually (fortunate)? : fortunately
usual usually (free)? : freely
usual usually (immediate)? : immediately
usual usually (infrequent)? : infrequently
usual usually (precise)? : precisely
usual usually (quiet)? : quietly
usual usually (reluctant)? : reluctantly
usual usually (safe)? : safely
usual usually (serious)? : seriously
usual usually (sudden)? : suddenly
usual usually (swift)? : swiftly
usual usually (unfortunate)? : unfortunately

--------------------- gram2-opposite.txt---------------------
acceptable unacceptable (aware)? : unaware
acceptable unacceptable (comfortable)? : uncomfortable
acceptable unacceptable (competitive)? : uncompetitive
acceptable unacceptable (consistent)? : inconsistent
acceptable unacceptable (convenient)? : inconvenient
acceptable unacceptable (ethical)? : unethical
acceptable unacceptable (fortunate)? : unfortunate
acceptable unacceptable (honest)? : dishonest
acceptable unacceptable (informed)? : uninformed
acceptable unacceptable (likely)? : unlikely
acceptable unacceptable (logical)? : illogical
acceptable unacceptable (pleasant)? : unpleasant
acceptable unacceptable (possible)? : impossible
acceptable unacceptable (possibly)? : impossibly
acceptable unacceptable (productive)? : unproductive
acceptable unacceptable (rational)? : irrational
acceptable unacceptable (reasonable)? : unreasonable
acceptable unacceptable (responsible)? : irresponsible
acceptable unacceptable (tasteful)? : distasteful
aware unaware (comfortable)? : uncomfortable
aware unaware (competitive)? : uncompetitive
aware unaware (consistent)? : inconsistent
aware unaware (convenient)? : inconvenient
aware unaware (ethical)? : unethical
aware unaware (fortunate)? : unfortunate
aware unaware (honest)? : dishonest
aware unaware (informed)? : uninformed
aware unaware (likely)? : unlikely
aware unaware (logical)? : illogical
aware unaware (pleasant)? : unpleasant
aware unaware (possible)? : impossible
aware unaware (possibly)? : impossibly
aware unaware (productive)? : unproductive
aware unaware (rational)? : irrational
aware unaware (reasonable)? : unreasonable
aware unaware (responsible)? : irresponsible
aware unaware (tasteful)? : distasteful
aware unaware (acceptable)? : unacceptable
certain uncertain (comfortable)? : uncomfortable
certain uncertain (competitive)? : uncompetitive
certain uncertain (convenient)? : inconvenient
certain uncertain (fortunate)? : unfortunate
certain uncertain (honest)? : dishonest
certain uncertain (likely)? : unlikely
certain uncertain (pleasant)? : unpleasant
certain uncertain (possible)? : impossible
certain uncertain (rational)? : irrational
certain uncertain (reasonable)? : unreasonable
certain uncertain (responsible)? : irresponsible
certain uncertain (tasteful)? : distasteful
certain uncertain (acceptable)? : unacceptable
clear unclear (comfortable)? : uncomfortable
clear unclear (competitive)? : uncompetitive
clear unclear (consistent)? : inconsistent
clear unclear (convenient)? : inconvenient
clear unclear (efficient)? : inefficient
clear unclear (fortunate)? : unfortunate
clear unclear (honest)? : dishonest
clear unclear (informed)? : uninformed
clear unclear (likely)? : unlikely
clear unclear (logical)? : illogical
clear unclear (pleasant)? : unpleasant
clear unclear (possible)? : impossible
clear unclear (possibly)? : impossibly
clear unclear (productive)? : unproductive
clear unclear (rational)? : irrational
clear unclear (reasonable)? : unreasonable
clear unclear (responsible)? : irresponsible
clear unclear (tasteful)? : distasteful
clear unclear (acceptable)? : unacceptable
clear unclear (aware)? : unaware
comfortable uncomfortable (competitive)? : uncompetitive
comfortable uncomfortable (consistent)? : inconsistent
comfortable uncomfortable (convenient)? : inconvenient
comfortable uncomfortable (ethical)? : unethical
comfortable uncomfortable (fortunate)? : unfortunate
comfortable uncomfortable (honest)? : dishonest
comfortable uncomfortable (informed)? : uninformed
comfortable uncomfortable (likely)? : unlikely
comfortable uncomfortable (logical)? : illogical
comfortable uncomfortable (pleasant)? : unpleasant
comfortable uncomfortable (possible)? : impossible
comfortable uncomfortable (possibly)? : impossibly
comfortable uncomfortable (productive)? : unproductive
comfortable uncomfortable (rational)? : irrational
comfortable uncomfortable (reasonable)? : unreasonable
comfortable uncomfortable (responsible)? : irresponsible
comfortable uncomfortable (tasteful)? : distasteful
comfortable uncomfortable (acceptable)? : unacceptable
comfortable uncomfortable (aware)? : unaware
competitive uncompetitive (consistent)? : inconsistent
competitive uncompetitive (convenient)? : inconvenient
competitive uncompetitive (ethical)? : unethical
competitive uncompetitive (fortunate)? : unfortunate
competitive uncompetitive (honest)? : dishonest
competitive uncompetitive (informed)? : uninformed
competitive uncompetitive (likely)? : unlikely
competitive uncompetitive (pleasant)? : unpleasant
competitive uncompetitive (possible)? : impossible
competitive uncompetitive (rational)? : irrational
competitive uncompetitive (reasonable)? : unreasonable
competitive uncompetitive (tasteful)? : distasteful
competitive uncompetitive (acceptable)? : unacceptable
competitive uncompetitive (aware)? : unaware
competitive uncompetitive (comfortable)? : uncomfortable
consistent inconsistent (fortunate)? : unfortunate
consistent inconsistent (honest)? : dishonest
consistent inconsistent (informed)? : uninformed
consistent inconsistent (likely)? : unlikely
consistent inconsistent (pleasant)? : unpleasant
consistent inconsistent (possible)? : impossible
consistent inconsistent (possibly)? : impossibly
consistent inconsistent (rational)? : irrational
consistent inconsistent (reasonable)? : unreasonable
consistent inconsistent (tasteful)? : distasteful
consistent inconsistent (acceptable)? : unacceptable
consistent inconsistent (aware)? : unaware
consistent inconsistent (comfortable)? : uncomfortable
consistent inconsistent (competitive)? : uncompetitive
convincing unconvincing (convenient)? : inconvenient
convincing unconvincing (ethical)? : unethical
convincing unconvincing (fortunate)? : unfortunate
convincing unconvincing (honest)? : dishonest
convincing unconvincing (informed)? : uninformed
convincing unconvincing (likely)? : unlikely
convincing unconvincing (logical)? : illogical
convincing unconvincing (pleasant)? : unpleasant
convincing unconvincing (possible)? : impossible
convincing unconvincing (possibly)? : impossibly
convincing unconvincing (productive)? : unproductive
convincing unconvincing (rational)? : irrational
convincing unconvincing (reasonable)? : unreasonable
convincing unconvincing (responsible)? : irresponsible
convincing unconvincing (tasteful)? : distasteful
convincing unconvincing (acceptable)? : unacceptable
convincing unconvincing (aware)? : unaware
convincing unconvincing (comfortable)? : uncomfortable
convincing unconvincing (competitive)? : uncompetitive
convincing unconvincing (consistent)? : inconsistent
convenient inconvenient (fortunate)? : unfortunate
convenient inconvenient (honest)? : dishonest
convenient inconvenient (informed)? : uninformed
convenient inconvenient (likely)? : unlikely
convenient inconvenient (pleasant)? : unpleasant
convenient inconvenient (possible)? : impossible
convenient inconvenient (rational)? : irrational
convenient inconvenient (reasonable)? : unreasonable
convenient inconvenient (responsible)? : irresponsible
