--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Nassau Bahamas (Tunis)? : Tunisia
--------------------- gram3-comparative.txt---------------------
big bigger (deep)? : deeper
bright brighter (deep)? : deeper
cheap cheaper (deep)? : deeper
cheap cheaper (smart)? : smarter
deep deeper (hard)? : harder
deep deeper (loud)? : louder
deep deeper (quick)? : quicker
deep deeper (smart)? : smarter
easy easier (smart)? : smarter
fast faster (deep)? : deeper
good better (deep)? : deeper
great greater (deep)? : deeper
hard harder (quick)? : quicker
hard harder (deep)? : deeper
heavy heavier (smart)? : smarter
heavy heavier (deep)? : deeper
high higher (smart)? : smarter
loud louder (smart)? : smarter
loud louder (wide)? : wider
loud louder (deep)? : deeper
new newer (deep)? : deeper
new newer (easy)? : easier
old older (deep)? : deeper
old older (easy)? : easier
quick quicker (smart)? : smarter
quick quicker (deep)? : deeper
safe safer (deep)? : deeper
sharp sharper (smart)? : smarter
sharp sharper (deep)? : deeper
sharp sharper (hard)? : harder
sharp sharper (quick)? : quicker
simple simpler (deep)? : deeper
slow slower (deep)? : deeper
slow slower (hard)? : harder
small smaller (deep)? : deeper
smart smarter (deep)? : deeper
smart smarter (loud)? : louder
strong stronger (deep)? : deeper
strong stronger (smart)? : smarter
tall taller (deep)? : deeper
tight tighter (deep)? : deeper
tight tighter (smart)? : smarter
tough tougher (deep)? : deeper
tough tougher (hard)? : harder
warm warmer (easy)? : easier
weak weaker (deep)? : deeper
weak weaker (smart)? : smarter
wide wider (smart)? : smarter
young younger (deep)? : deeper
young younger (smart)? : smarter

--------------------- gram4-superlative.txt---------------------
sharp sharpest (simple)? : simplest

--------------------- gram5-present-participle.txt---------------------
code coding (scream)? : screaming
dance dancing (play)? : playing
dance dancing (scream)? : screaming
debug debugging (scream)? : screaming
decrease decreasing (fly)? : flying
decrease decreasing (scream)? : screaming
describe describing (run)? : running
discover discovering (scream)? : screaming
discover discovering (sing)? : singing
enhance enhancing (scream)? : screaming
enhance enhancing (sing)? : singing
fly flying (scream)? : screaming
fly flying (sing)? : singing
generate generating (scream)? : screaming
generate generating (sing)? : singing
generate generating (fly)? : flying
go going (scream)? : screaming
implement implementing (scream)? : screaming
implement implementing (sing)? : singing
implement implementing (fly)? : flying
increase increasing (scream)? : screaming
increase increasing (shuffle)? : shuffling
invent inventing (scream)? : screaming
invent inventing (sing)? : singing
jump jumping (discover)? : discovering
listen listening (scream)? : screaming
look looking (scream)? : screaming
look looking (sing)? : singing
move moving (scream)? : screaming
move moving (sing)? : singing
play playing (scream)? : screaming
play playing (sing)? : singing
predict predicting (scream)? : screaming
predict predicting (sing)? : singing
predict predicting (listen)? : listening
read reading (scream)? : screaming
read reading (sing)? : singing
run running (scream)? : screaming
run running (sing)? : singing
scream screaming (sing)? : singing
scream screaming (run)? : running
shuffle shuffling (sing)? : singing
shuffle shuffling (scream)? : screaming
sing singing (fly)? : flying
sing singing (play)? : playing
sing singing (scream)? : screaming
sit sitting (scream)? : screaming
slow slowing (scream)? : screaming
slow slowing (sing)? : singing
swim swimming (scream)? : screaming
think thinking (scream)? : screaming
vanish vanishing (scream)? : screaming
vanish vanishing (sing)? : singing
write writing (scream)? : screaming

--------------------- gram6-nationality-adjective.txt---------------------
Argentina Argentinean (Moldova)? : Moldovan
Austria Austrian (Moldova)? : Moldovan
Belarus Belorussian (Moldova)? : Moldovan
Cambodia Cambodian (Moldova)? : Moldovan
Colombia Colombian (Moldova)? : Moldovan
India Indian (Moldova)? : Moldovan
Israel Israeli (Moldova)? : Moldovan
Mexico Mexican (Moldova)? : Moldovan
Slovakia Slovakian (Moldova)? : Moldovan
Ukraine Ukrainian (Moldova)? : Moldovan

--------------------- gram7-past-tense.txt---------------------
dancing danced (playing)? : played
decreasing decreased (playing)? : played
flying flew (playing)? : played
generating generated (taking)? : took
going went (playing)? : played
hiding hid (playing)? : played
hiding hid (generating)? : generated
increasing increased (playing)? : played
looking looked (playing)? : played
screaming screamed (playing)? : played
seeing saw (dancing)? : danced
seeing saw (describing)? : described
shrinking shrank (slowing)? : slowed
shrinking shrank (generating)? : generated
shrinking shrank (implementing)? : implemented
shrinking shrank (playing)? : played
singing sang (playing)? : played
sitting sat (playing)? : played
sitting sat (reading)? : read
sleeping slept (playing)? : played
spending spent (implementing)? : implemented
spending spent (playing)? : played
striking struck (playing)? : played
walking walked (implementing)? : implemented
walking walked (playing)? : played

--------------------- gram8-plural.txt---------------------
banana bananas (bird)? : birds
banana bananas (bottle)? : bottles
banana bananas (car)? : cars
banana bananas (cat)? : cats
banana bananas (dog)? : dogs
banana bananas (finger)? : fingers
banana bananas (hand)? : hands
banana bananas (horse)? : horses
banana bananas (lion)? : lions
banana bananas (onion)? : onions
banana bananas (pear)? : pears
bird birds (onion)? : onions
bird birds (pear)? : pears
bird birds (banana)? : bananas
bottle bottles (cow)? : cows
bottle bottles (finger)? : fingers
bottle bottles (hand)? : hands
bottle bottles (lion)? : lions
bottle bottles (onion)? : onions
bottle bottles (pear)? : pears
bottle bottles (banana)? : bananas
building buildings (cloud)? : clouds
building buildings (cow)? : cows
building buildings (onion)? : onions
building buildings (pear)? : pears
building buildings (banana)? : bananas
car cars (cat)? : cats
car cars (cow)? : cows
car cars (hand)? : hands
car cars (horse)? : horses
car cars (onion)? : onions
car cars (pear)? : pears
car cars (banana)? : bananas
car cars (bird)? : birds
cat cats (cow)? : cows
cat cats (hand)? : hands
cat cats (lion)? : lions
cat cats (onion)? : onions
cat cats (pear)? : pears
cat cats (banana)? : bananas
child children (onion)? : onions
child children (pear)? : pears
child children (banana)? : bananas
cloud clouds (finger)? : fingers
cloud clouds (hand)? : hands
cloud clouds (onion)? : onions
cloud clouds (pear)? : pears
cloud clouds (road)? : roads
cloud clouds (banana)? : bananas
cloud clouds (bottle)? : bottles
cloud clouds (car)? : cars
color colors (cow)? : cows
color colors (dog)? : dogs
color colors (dream)? : dreams
color colors (finger)? : fingers
color colors (horse)? : horses
color colors (lion)? : lions
color colors (monkey)? : monkeys
color colors (onion)? : onions
color colors (pear)? : pears
color colors (road)? : roads
color colors (banana)? : bananas
color colors (bird)? : birds
color colors (car)? : cars
color colors (cat)? : cats
color colors (cloud)? : clouds
computer computers (cow)? : cows
computer computers (dream)? : dreams
computer computers (finger)? : fingers
computer computers (hand)? : hands
computer computers (horse)? : horses
computer computers (onion)? : onions
computer computers (pear)? : pears
computer computers (banana)? : bananas
computer computers (bird)? : birds
computer computers (bottle)? : bottles
computer computers (cat)? : cats
cow cows (finger)? : fingers
cow cows (hand)? : hands
cow cows (horse)? : horses
cow cows (onion)? : onions
cow cows (pear)? : pears
cow cows (snake)? : snakes
cow cows (bird)? : birds
cow cows (bottle)? : bottles
cow cows (cat)? : cats
cow cows (color)? : colors
dog dogs (finger)? : fingers
dog dogs (hand)? : hands
dog dogs (lion)? : lions
dog dogs (onion)? : onions
dog dogs (pear)? : pears
dog dogs (banana)? : bananas
dog dogs (bottle)? : bottles
dollar dollars (finger)? : fingers
dollar dollars (hand)? : hands
dollar dollars (onion)? : onions
dollar dollars (pear)? : pears
dollar dollars (banana)? : bananas
dollar dollars (car)? : cars
dollar dollars (cat)? : cats
dollar dollars (cow)? : cows
dollar dollars (dog)? : dogs
donkey donkeys (finger)? : fingers
donkey donkeys (hand)? : hands
donkey donkeys (onion)? : onions
donkey donkeys (pear)? : pears
donkey donkeys (banana)? : bananas
donkey donkeys (car)? : cars
dream dreams (horse)? : horses
dream dreams (lion)? : lions
dream dreams (onion)? : onions
dream dreams (pear)? : pears
dream dreams (pig)? : pigs
dream dreams (banana)? : bananas
dream dreams (bird)? : birds
dream dreams (car)? : cars
dream dreams (cat)? : cats
eagle eagles (finger)? : fingers
eagle eagles (onion)? : onions
eagle eagles (banana)? : bananas
elephant elephants (finger)? : fingers
elephant elephants (onion)? : onions
elephant elephants (pear)? : pears
elephant elephants (banana)? : bananas
eye eyes (finger)? : fingers
eye eyes (goat)? : goats
eye eyes (lion)? : lions
eye eyes (mouse)? : mice
eye eyes (onion)? : onions
eye eyes (pear)? : pears
eye eyes (pig)? : pigs
eye eyes (rat)? : rats
eye eyes (banana)? : bananas
eye eyes (bird)? : birds
eye eyes (bottle)? : bottles
eye eyes (cat)? : cats
eye eyes (color)? : colors
eye eyes (cow)? : cows
eye eyes (dog)? : dogs
eye eyes (dollar)? : dollars
finger fingers (hand)? : hands
finger fingers (horse)? : horses
finger fingers (lion)? : lions
finger fingers (onion)? : onions
finger fingers (pear)? : pears
finger fingers (banana)? : bananas
finger fingers (cat)? : cats
finger fingers (cloud)? : clouds
finger fingers (cow)? : cows
finger fingers (dog)? : dogs
goat goats (hand)? : hands
goat goats (onion)? : onions
goat goats (pear)? : pears
goat goats (banana)? : bananas
goat goats (finger)? : fingers
hand hands (horse)? : horses
hand hands (lion)? : lions
hand hands (onion)? : onions
hand hands (pear)? : pears
hand hands (banana)? : bananas
hand hands (car)? : cars
hand hands (cat)? : cats
hand hands (cow)? : cows
hand hands (finger)? : fingers
hand hands (goat)? : goats
horse horses (lion)? : lions
horse horses (onion)? : onions
horse horses (pear)? : pears
horse horses (banana)? : bananas
horse horses (bottle)? : bottles
horse horses (cat)? : cats
horse horses (cow)? : cows
horse horses (finger)? : fingers
lion lions (onion)? : onions
lion lions (pear)? : pears
lion lions (pig)? : pigs
lion lions (banana)? : bananas
lion lions (bottle)? : bottles
lion lions (cow)? : cows
lion lions (dream)? : dreams
machine machines (onion)? : onions
machine machines (pear)? : pears
machine machines (banana)? : bananas
machine machines (cow)? : cows
mango mangoes (onion)? : onions
mango mangoes (pear)? : pears
mango mangoes (road)? : roads
mango mangoes (snake)? : snakes
mango mangoes (banana)? : bananas
mango mangoes (bird)? : birds
mango mangoes (cat)? : cats
mango mangoes (dream)? : dreams
mango mangoes (elephant)? : elephants
mango mangoes (finger)? : fingers
mango mangoes (hand)? : hands
mango mangoes (lion)? : lions
mango mangoes (machine)? : machines
man men (onion)? : onions
man men (pear)? : pears
man men (cow)? : cows
melon melons (onion)? : onions
melon melons (pear)? : pears
melon melons (banana)? : bananas
melon melons (cat)? : cats
melon melons (finger)? : fingers
melon melons (lion)? : lions
monkey monkeys (onion)? : onions
monkey monkeys (pear)? : pears
monkey monkeys (banana)? : bananas
monkey monkeys (bottle)? : bottles
monkey monkeys (car)? : cars
monkey monkeys (cow)? : cows
monkey monkeys (finger)? : fingers
mouse mice (onion)? : onions
mouse mice (pear)? : pears
mouse mice (banana)? : bananas
mouse mice (bottle)? : bottles
mouse mice (car)? : cars
mouse mice (finger)? : fingers
mouse mice (horse)? : horses
mouse mice (lion)? : lions
onion onions (pear)? : pears
onion onions (banana)? : bananas
onion onions (cat)? : cats
onion onions (cow)? : cows
onion onions (lion)? : lions
pear pears (snake)? : snakes
pear pears (banana)? : bananas
pear pears (bird)? : birds
pear pears (bottle)? : bottles
pear pears (car)? : cars
pear pears (cat)? : cats
pear pears (color)? : colors
pear pears (dream)? : dreams
pear pears (elephant)? : elephants
pear pears (finger)? : fingers
pear pears (hand)? : hands
pear pears (horse)? : horses
pear pears (lion)? : lions
pear pears (onion)? : onions
pig pigs (finger)? : fingers
pig pigs (hand)? : hands
pig pigs (onion)? : onions
pig pigs (pear)? : pears
pineapple pineapples (banana)? : bananas
pineapple pineapples (bird)? : birds
pineapple pineapples (bottle)? : bottles
pineapple pineapples (car)? : cars
pineapple pineapples (cat)? : cats
pineapple pineapples (color)? : colors
pineapple pineapples (cow)? : cows
pineapple pineapples (dream)? : dreams
pineapple pineapples (hand)? : hands
pineapple pineapples (horse)? : horses
pineapple pineapples (lion)? : lions
pineapple pineapples (onion)? : onions
pineapple pineapples (pear)? : pears
rat rats (cow)? : cows
rat rats (hand)? : hands
rat rats (onion)? : onions
rat rats (pear)? : pears
road roads (banana)? : bananas
road roads (finger)? : fingers
road roads (hand)? : hands
road roads (onion)? : onions
road roads (pear)? : pears
snake snakes (banana)? : bananas
snake snakes (car)? : cars
snake snakes (color)? : colors
snake snakes (cow)? : cows
snake snakes (onion)? : onions
snake snakes (pear)? : pears
woman women (banana)? : bananas
woman women (cow)? : cows
woman women (onion)? : onions
woman women (pear)? : pears

--------------------- gram9-plural-verbs.txt---------------------
decrease decreases (enhance)? : enhances
decrease decreases (generate)? : generates
decrease decreases (predict)? : predicts
describe describes (enhance)? : enhances
describe describes (search)? : searches
eat eats (enhance)? : enhances
enhance enhances (implement)? : implements
enhance enhances (predict)? : predicts
enhance enhances (work)? : works
estimate estimates (generate)? : generates
estimate estimates (predict)? : predicts
estimate estimates (provide)? : provides
estimate estimates (say)? : says
estimate estimates (sing)? : sings
estimate estimates (vanish)? : vanishes
estimate estimates (describe)? : describes
estimate estimates (eat)? : eats
estimate estimates (enhance)? : enhances
find finds (enhance)? : enhances
generate generates (implement)? : implements
generate generates (search)? : searches
generate generates (enhance)? : enhances
go goes (enhance)? : enhances
implement implements (predict)? : predicts
implement implements (vanish)? : vanishes
implement implements (enhance)? : enhances
implement implements (generate)? : generates
increase increases (predict)? : predicts
increase increases (work)? : works
increase increases (enhance)? : enhances
increase increases (generate)? : generates
listen listens (predict)? : predicts
listen listens (search)? : searches
listen listens (vanish)? : vanishes
listen listens (enhance)? : enhances
play plays (search)? : searches
play plays (work)? : works
play plays (eat)? : eats
predict predicts (work)? : works
predict predicts (enhance)? : enhances
provide provides (search)? : searches
provide provides (work)? : works
provide provides (enhance)? : enhances
provide provides (implement)? : implements
say says (search)? : searches
say says (work)? : works
say says (enhance)? : enhances
say says (implement)? : implements
say says (predict)? : predicts
scream screams (vanish)? : vanishes
scream screams (enhance)? : enhances
scream screams (generate)? : generates
scream screams (predict)? : predicts
search searches (predict)? : predicts
see sees (work)? : works
see sees (implement)? : implements
shuffle shuffles (vanish)? : vanishes
shuffle shuffles (eat)? : eats
shuffle shuffles (enhance)? : enhances
shuffle shuffles (generate)? : generates
shuffle shuffles (predict)? : predicts
shuffle shuffles (provide)? : provides
sing sings (enhance)? : enhances
sing sings (estimate)? : estimates
sing sings (implement)? : implements
sing sings (predict)? : predicts
sit sits (work)? : works
sit sits (enhance)? : enhances
sit sits (estimate)? : estimates
slow slows (work)? : works
speak speaks (enhance)? : enhances
speak speaks (generate)? : generates
speak speaks (implement)? : implements
speak speaks (search)? : searches
swim swims (enhance)? : enhances
swim swims (generate)? : generates
swim swims (provide)? : provides
talk talks (vanish)? : vanishes
talk talks (work)? : works
talk talks (enhance)? : enhances
talk talks (generate)? : generates
talk talks (provide)? : provides
think thinks (work)? : works
think thinks (enhance)? : enhances
think thinks (generate)? : generates
think thinks (predict)? : predicts
think thinks (search)? : searches
vanish vanishes (work)? : works
vanish vanishes (enhance)? : enhances
vanish vanishes (generate)? : generates
vanish vanishes (implement)? : implements
vanish vanishes (predict)? : predicts
walk walks (enhance)? : enhances
walk walks (predict)? : predicts
work works (eat)? : eats
work works (enhance)? : enhances
work works (predict)? : predicts
work works (vanish)? : vanishes
write writes (estimate)? : estimates
write writes (work)? : works


./models/inpsmt_e15_d100t100.bin
[ gram6-nationality-adjective.txt ] Correct: 10	 Total: 1599 	 Soft1 Acc: 0.006254
[          gram9-plural-verbs.txt ] Correct: 100	 Total: 870 	 Soft1 Acc: 0.1149
[                      family.txt ] Correct: 13	 Total: 506 	 Soft1 Acc: 0.02569
[    gram1-adjective-to-averb.txt ] Correct: 151	 Total: 992 	 Soft1 Acc: 0.1522
[    gram5-present-participle.txt ] Correct: 54	 Total: 1056 	 Soft1 Acc: 0.05114
[    capital-common-countries.txt ] Correct: 0	 Total: 506 	 Soft1 Acc: 0
[            gram7-past-tense.txt ] Correct: 25	 Total: 1560 	 Soft1 Acc: 0.01603
[               city-in-state.txt ] Correct: 0	 Total: 2467 	 Soft1 Acc: 0
[           gram4-superlative.txt ] Correct: 1	 Total: 1122 	 Soft1 Acc: 0.0008913
[              gram2-opposite.txt ] Correct: 124	 Total: 812 	 Soft1 Acc: 0.1527
[           gram3-comparative.txt ] Correct: 50	 Total: 1332 	 Soft1 Acc: 0.03754
[                    currency.txt ] Correct: 0	 Total: 866 	 Soft1 Acc: 0
[               capital-world.txt ] Correct: 3	 Total: 4524 	 Soft1 Acc: 0.0006631
[                gram8-plural.txt ] Correct: 277	 Total: 1332 	 Soft1 Acc: 0.208
Elapsed Time: 276.5 second.
Mean accuracy: 0.05472%  
