--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------
Nassau Bahamas (Tunis)? : Tunisia
ethical unethical (likely)? : unlikely
ethical unethical (possible)? : impossible
ethical unethical (reasonable)? : unreasonable
ethical unethical (tasteful)? : distasteful
ethical unethical (aware)? : unaware
fortunate unfortunate (tasteful)? : distasteful
honest dishonest (likely)? : unlikely
honest dishonest (possible)? : impossible
impressive unimpressive (likely)? : unlikely
impressive unimpressive (possible)? : impossible
impressive unimpressive (tasteful)? : distasteful
impressive unimpressive (comfortable)? : uncomfortable
informative uninformative (likely)? : unlikely
informative uninformative (possible)? : impossible
informative uninformative (tasteful)? : distasteful
informed uninformed (likely)? : unlikely
informed uninformed (possible)? : impossible
informed uninformed (reasonable)? : unreasonable
informed uninformed (tasteful)? : distasteful
known unknown (tasteful)? : distasteful
likely unlikely (possible)? : impossible
likely unlikely (rational)? : irrational
likely unlikely (tasteful)? : distasteful
logical illogical (pleasant)? : unpleasant
logical illogical (possible)? : impossible
logical illogical (tasteful)? : distasteful
logical illogical (likely)? : unlikely
pleasant unpleasant (possible)? : impossible
pleasant unpleasant (tasteful)? : distasteful
possible impossible (tasteful)? : distasteful
possible impossible (likely)? : unlikely
possibly impossibly (tasteful)? : distasteful
possibly impossibly (pleasant)? : unpleasant
productive unproductive (tasteful)? : distasteful
productive unproductive (likely)? : unlikely
productive unproductive (possible)? : impossible
rational irrational (reasonable)? : unreasonable
rational irrational (likely)? : unlikely
rational irrational (possible)? : impossible
rational irrational (possibly)? : impossibly
reasonable unreasonable (likely)? : unlikely
reasonable unreasonable (possible)? : impossible
responsible irresponsible (tasteful)? : distasteful
responsible irresponsible (pleasant)? : unpleasant
responsible irresponsible (possible)? : impossible
sure unsure (informed)? : uninformed
tasteful distasteful (informed)? : uninformed
tasteful distasteful (likely)? : unlikely
tasteful distasteful (possible)? : impossible

--------------------- gram3-comparative.txt---------------------
big bigger (smart)? : smarter
bright brighter (deep)? : deeper
bright brighter (quick)? : quicker
bright brighter (smart)? : smarter
cheap cheaper (smart)? : smarter
cold colder (safe)? : safer
cold colder (smart)? : smarter
cool cooler (smart)? : smarter
cool cooler (tough)? : tougher
deep deeper (smart)? : smarter
easy easier (smart)? : smarter
fast faster (smart)? : smarter
great greater (smart)? : smarter
hard harder (smart)? : smarter
heavy heavier (smart)? : smarter
high higher (smart)? : smarter
hot hotter (smart)? : smarter
large larger (smart)? : smarter
long longer (smart)? : smarter
loud louder (smart)? : smarter
loud louder (tough)? : tougher
loud louder (deep)? : deeper
low lower (smart)? : smarter
new newer (smart)? : smarter
new newer (tough)? : tougher
new newer (deep)? : deeper
old older (smart)? : smarter
quick quicker (smart)? : smarter
safe safer (smart)? : smarter
sharp sharper (smart)? : smarter
simple simpler (smart)? : smarter
slow slower (smart)? : smarter
slow slower (tough)? : tougher
smart smarter (deep)? : deeper
strong stronger (smart)? : smarter
tall taller (smart)? : smarter
tight tighter (smart)? : smarter
tough tougher (deep)? : deeper
tough tougher (loud)? : louder
tough tougher (smart)? : smarter
warm warmer (smart)? : smarter
weak weaker (smart)? : smarter
wide wider (smart)? : smarter
young younger (deep)? : deeper
young younger (smart)? : smarter
young younger (tough)? : tougher

--------------------- gram4-superlative.txt---------------------
quick quickest (simple)? : simplest
sharp sharpest (simple)? : simplest
sweet sweetest (simple)? : simplest
wide widest (sharp)? : sharpest

--------------------- gram5-present-participle.txt---------------------
code coding (move)? : moving
code coding (scream)? : screaming
dance dancing (move)? : moving
dance dancing (scream)? : screaming
debug debugging (scream)? : screaming
decrease decreasing (scream)? : screaming
decrease decreasing (sing)? : singing
describe describing (move)? : moving
describe describing (scream)? : screaming
describe describing (sing)? : singing
discover discovering (scream)? : screaming
discover discovering (sing)? : singing
enhance enhancing (scream)? : screaming
enhance enhancing (sing)? : singing
fly flying (sing)? : singing
generate generating (scream)? : screaming
generate generating (sing)? : singing
go going (scream)? : screaming
implement implementing (sing)? : singing
increase increasing (scream)? : screaming
increase increasing (sing)? : singing
invent inventing (scream)? : screaming
invent inventing (sing)? : singing
listen listening (scream)? : screaming
listen listening (sing)? : singing
move moving (scream)? : screaming
move moving (sing)? : singing
play playing (scream)? : screaming
read reading (scream)? : screaming
read reading (sing)? : singing
run running (sing)? : singing
scream screaming (sing)? : singing
shuffle shuffling (sing)? : singing
sing singing (move)? : moving
sing singing (scream)? : screaming
sit sitting (scream)? : screaming
sit sitting (sing)? : singing
slow slowing (scream)? : screaming
slow slowing (sing)? : singing
vanish vanishing (scream)? : screaming
vanish vanishing (sing)? : singing
walk walking (scream)? : screaming
write writing (scream)? : screaming
write writing (sing)? : singing

--------------------- gram6-nationality-adjective.txt---------------------
Argentina Argentinean (Moldova)? : Moldovan
Australia Australian (Moldova)? : Moldovan
Austria Austrian (Moldova)? : Moldovan
Belarus Belorussian (Moldova)? : Moldovan
Cambodia Cambodian (Moldova)? : Moldovan
Colombia Colombian (Moldova)? : Moldovan
Croatia Croatian (Moldova)? : Moldovan
India Indian (Moldova)? : Moldovan
Malta Maltese (Moldova)? : Moldovan
Mexico Mexican (Moldova)? : Moldovan
Peru Peruvian (Moldova)? : Moldovan
Slovakia Slovakian (Moldova)? : Moldovan

--------------------- gram7-past-tense.txt---------------------
dancing danced (playing)? : played
dancing danced (slowing)? : slowed
decreasing decreased (playing)? : played
enhancing enhanced (taking)? : took
going went (playing)? : played
hiding hid (implementing)? : implemented
hiding hid (moving)? : moved
hiding hid (playing)? : played
hiding hid (describing)? : described
increasing increased (playing)? : played
knowing knew (playing)? : played
shrinking shrank (slowing)? : slowed
shrinking shrank (playing)? : played
sitting sat (slowing)? : slowed
walking walked (implementing)? : implemented

--------------------- gram8-plural.txt---------------------
banana bananas (bird)? : birds
banana bananas (car)? : cars
banana bananas (cat)? : cats
banana bananas (color)? : colors
banana bananas (dream)? : dreams
banana bananas (finger)? : fingers
banana bananas (hand)? : hands
banana bananas (horse)? : horses
banana bananas (lion)? : lions
banana bananas (monkey)? : monkeys
banana bananas (onion)? : onions
banana bananas (pear)? : pears
banana bananas (rat)? : rats
banana bananas (snake)? : snakes
bird birds (cow)? : cows
bird birds (dollar)? : dollars
bird birds (monkey)? : monkeys
bird birds (onion)? : onions
bird birds (pear)? : pears
bottle bottles (color)? : colors
bottle bottles (dream)? : dreams
bottle bottles (finger)? : fingers
bottle bottles (horse)? : horses
bottle bottles (lion)? : lions
bottle bottles (onion)? : onions
bottle bottles (pear)? : pears
bottle bottles (banana)? : bananas
building buildings (color)? : colors
building buildings (finger)? : fingers
building buildings (horse)? : horses
building buildings (monkey)? : monkeys
building buildings (onion)? : onions
building buildings (pear)? : pears
building buildings (banana)? : bananas
car cars (color)? : colors
car cars (cow)? : cows
car cars (dream)? : dreams
car cars (finger)? : fingers
car cars (horse)? : horses
car cars (onion)? : onions
car cars (pear)? : pears
car cars (banana)? : bananas
cat cats (color)? : colors
cat cats (horse)? : horses
cat cats (monkey)? : monkeys
cat cats (onion)? : onions
cat cats (pear)? : pears
cat cats (banana)? : bananas
child children (finger)? : fingers
child children (onion)? : onions
child children (pear)? : pears
child children (banana)? : bananas
cloud clouds (color)? : colors
cloud clouds (dollar)? : dollars
cloud clouds (finger)? : fingers
cloud clouds (horse)? : horses
cloud clouds (lion)? : lions
cloud clouds (onion)? : onions
cloud clouds (pear)? : pears
cloud clouds (road)? : roads
cloud clouds (banana)? : bananas
cloud clouds (bird)? : birds
color colors (cow)? : cows
color colors (dream)? : dreams
color colors (finger)? : fingers
color colors (horse)? : horses
color colors (lion)? : lions
color colors (monkey)? : monkeys
color colors (onion)? : onions
color colors (pear)? : pears
color colors (banana)? : bananas
color colors (bird)? : birds
color colors (car)? : cars
color colors (cat)? : cats
computer computers (dream)? : dreams
computer computers (finger)? : fingers
computer computers (horse)? : horses
computer computers (lion)? : lions
computer computers (monkey)? : monkeys
computer computers (onion)? : onions
computer computers (pear)? : pears
computer computers (banana)? : bananas
computer computers (cat)? : cats
cow cows (dream)? : dreams
cow cows (finger)? : fingers
cow cows (lion)? : lions
cow cows (monkey)? : monkeys
cow cows (onion)? : onions
cow cows (pear)? : pears
cow cows (rat)? : rats
cow cows (banana)? : bananas
cow cows (color)? : colors
dog dogs (finger)? : fingers
dog dogs (horse)? : horses
dog dogs (lion)? : lions
dog dogs (onion)? : onions
dog dogs (pear)? : pears
dog dogs (road)? : roads
dog dogs (banana)? : bananas
dog dogs (car)? : cars
dog dogs (color)? : colors
dollar dollars (finger)? : fingers
dollar dollars (onion)? : onions
dollar dollars (pear)? : pears
dollar dollars (color)? : colors
donkey donkeys (finger)? : fingers
donkey donkeys (horse)? : horses
donkey donkeys (lion)? : lions
donkey donkeys (onion)? : onions
donkey donkeys (pear)? : pears
donkey donkeys (banana)? : bananas
donkey donkeys (car)? : cars
donkey donkeys (color)? : colors
dream dreams (finger)? : fingers
dream dreams (horse)? : horses
dream dreams (lion)? : lions
dream dreams (monkey)? : monkeys
dream dreams (onion)? : onions
dream dreams (pear)? : pears
dream dreams (rat)? : rats
dream dreams (banana)? : bananas
dream dreams (bird)? : birds
dream dreams (car)? : cars
dream dreams (cat)? : cats
dream dreams (color)? : colors
dream dreams (cow)? : cows
eagle eagles (finger)? : fingers
eagle eagles (horse)? : horses
eagle eagles (onion)? : onions
eagle eagles (pear)? : pears
eagle eagles (rat)? : rats
eagle eagles (banana)? : bananas
eagle eagles (color)? : colors
eagle eagles (dream)? : dreams
elephant elephants (finger)? : fingers
elephant elephants (horse)? : horses
elephant elephants (lion)? : lions
elephant elephants (onion)? : onions
elephant elephants (pear)? : pears
elephant elephants (rat)? : rats
elephant elephants (banana)? : bananas
elephant elephants (car)? : cars
elephant elephants (color)? : colors
elephant elephants (cow)? : cows
elephant elephants (dream)? : dreams
eye eyes (finger)? : fingers
eye eyes (goat)? : goats
eye eyes (horse)? : horses
eye eyes (lion)? : lions
eye eyes (monkey)? : monkeys
eye eyes (onion)? : onions
eye eyes (pear)? : pears
eye eyes (rat)? : rats
eye eyes (banana)? : bananas
eye eyes (bird)? : birds
eye eyes (bottle)? : bottles
eye eyes (cat)? : cats
finger fingers (horse)? : horses
finger fingers (monkey)? : monkeys
finger fingers (onion)? : onions
finger fingers (pear)? : pears
finger fingers (banana)? : bananas
finger fingers (bird)? : birds
finger fingers (color)? : colors
finger fingers (cow)? : cows
finger fingers (dream)? : dreams
goat goats (lion)? : lions
goat goats (onion)? : onions
goat goats (pear)? : pears
goat goats (banana)? : bananas
goat goats (dream)? : dreams
goat goats (finger)? : fingers
hand hands (horse)? : horses
hand hands (lion)? : lions
hand hands (monkey)? : monkeys
hand hands (onion)? : onions
hand hands (pear)? : pears
hand hands (snake)? : snakes
hand hands (banana)? : bananas
hand hands (bird)? : birds
hand hands (bottle)? : bottles
hand hands (car)? : cars
hand hands (color)? : colors
hand hands (cow)? : cows
hand hands (finger)? : fingers
horse horses (lion)? : lions
horse horses (onion)? : onions
horse horses (pear)? : pears
horse horses (banana)? : bananas
horse horses (cat)? : cats
horse horses (cow)? : cows
horse horses (finger)? : fingers
lion lions (onion)? : onions
lion lions (pear)? : pears
lion lions (banana)? : bananas
lion lions (color)? : colors
lion lions (dream)? : dreams
lion lions (finger)? : fingers
machine machines (onion)? : onions
machine machines (pear)? : pears
machine machines (banana)? : bananas
machine machines (dream)? : dreams
machine machines (eye)? : eyes
machine machines (finger)? : fingers
machine machines (horse)? : horses
mango mangoes (monkey)? : monkeys
mango mangoes (onion)? : onions
mango mangoes (pear)? : pears
mango mangoes (banana)? : bananas
mango mangoes (bird)? : birds
mango mangoes (cat)? : cats
mango mangoes (color)? : colors
mango mangoes (dream)? : dreams
mango mangoes (finger)? : fingers
mango mangoes (horse)? : horses
mango mangoes (lion)? : lions
man men (monkey)? : monkeys
man men (onion)? : onions
man men (pear)? : pears
man men (banana)? : bananas
man men (cow)? : cows
man men (lion)? : lions
melon melons (onion)? : onions
melon melons (pear)? : pears
melon melons (banana)? : bananas
melon melons (cat)? : cats
melon melons (color)? : colors
melon melons (cow)? : cows
melon melons (finger)? : fingers
melon melons (horse)? : horses
melon melons (lion)? : lions
monkey monkeys (onion)? : onions
monkey monkeys (pear)? : pears
monkey monkeys (banana)? : bananas
monkey monkeys (car)? : cars
monkey monkeys (color)? : colors
monkey monkeys (dream)? : dreams
monkey monkeys (finger)? : fingers
monkey monkeys (horse)? : horses
monkey monkeys (lion)? : lions
mouse mice (onion)? : onions
mouse mice (pear)? : pears
mouse mice (banana)? : bananas
mouse mice (bottle)? : bottles
mouse mice (car)? : cars
mouse mice (cat)? : cats
mouse mice (color)? : colors
mouse mice (finger)? : fingers
mouse mice (horse)? : horses
mouse mice (lion)? : lions
onion onions (pear)? : pears
onion onions (rat)? : rats
onion onions (banana)? : bananas
onion onions (bird)? : birds
onion onions (car)? : cars
onion onions (cat)? : cats
onion onions (color)? : colors
onion onions (cow)? : cows
onion onions (finger)? : fingers
onion onions (horse)? : horses
onion onions (lion)? : lions
onion onions (monkey)? : monkeys
pear pears (snake)? : snakes
pear pears (banana)? : bananas
pear pears (bird)? : birds
pear pears (car)? : cars
pear pears (cat)? : cats
pear pears (color)? : colors
pear pears (cow)? : cows
pear pears (dream)? : dreams
pear pears (finger)? : fingers
pear pears (horse)? : horses
pear pears (lion)? : lions
pear pears (monkey)? : monkeys
pear pears (onion)? : onions
pig pigs (dream)? : dreams
pig pigs (finger)? : fingers
pig pigs (monkey)? : monkeys
pig pigs (onion)? : onions
pig pigs (pear)? : pears
pineapple pineapples (rat)? : rats
pineapple pineapples (banana)? : bananas
pineapple pineapples (bird)? : birds
pineapple pineapples (bottle)? : bottles
pineapple pineapples (car)? : cars
pineapple pineapples (cat)? : cats
pineapple pineapples (color)? : colors
pineapple pineapples (cow)? : cows
pineapple pineapples (finger)? : fingers
pineapple pineapples (horse)? : horses
pineapple pineapples (lion)? : lions
pineapple pineapples (monkey)? : monkeys
pineapple pineapples (onion)? : onions
pineapple pineapples (pear)? : pears
rat rats (banana)? : bananas
rat rats (cow)? : cows
rat rats (finger)? : fingers
rat rats (onion)? : onions
rat rats (pear)? : pears
road roads (banana)? : bananas
road roads (car)? : cars
road roads (finger)? : fingers
road roads (horse)? : horses
road roads (onion)? : onions
road roads (pear)? : pears
road roads (rat)? : rats
snake snakes (banana)? : bananas
snake snakes (car)? : cars
snake snakes (color)? : colors
snake snakes (finger)? : fingers
snake snakes (horse)? : horses
snake snakes (lion)? : lions
snake snakes (monkey)? : monkeys
snake snakes (onion)? : onions
snake snakes (pear)? : pears
woman women (banana)? : bananas
woman women (onion)? : onions
woman women (pear)? : pears

--------------------- gram9-plural-verbs.txt---------------------
decrease decreases (enhance)? : enhances
decrease decreases (implement)? : implements
describe describes (enhance)? : enhances
eat eats (enhance)? : enhances
enhance enhances (implement)? : implements
enhance enhances (listen)? : listens
enhance enhances (predict)? : predicts
enhance enhances (sit)? : sits
enhance enhances (speak)? : speaks
estimate estimates (generate)? : generates
estimate estimates (provide)? : provides
estimate estimates (slow)? : slows
estimate estimates (speak)? : speaks
estimate estimates (describe)? : describes
estimate estimates (enhance)? : enhances
find finds (enhance)? : enhances
generate generates (search)? : searches
generate generates (speak)? : speaks
generate generates (enhance)? : enhances
go goes (enhance)? : enhances
implement implements (listen)? : listens
implement implements (search)? : searches
implement implements (speak)? : speaks
implement implements (enhance)? : enhances
increase increases (swim)? : swims
increase increases (enhance)? : enhances
increase increases (implement)? : implements
listen listens (search)? : searches
listen listens (enhance)? : enhances
play plays (vanish)? : vanishes
play plays (enhance)? : enhances
predict predicts (search)? : searches
predict predicts (work)? : works
predict predicts (enhance)? : enhances
provide provides (enhance)? : enhances
provide provides (implement)? : implements
say says (search)? : searches
say says (enhance)? : enhances
scream screams (speak)? : speaks
scream screams (vanish)? : vanishes
scream screams (describe)? : describes
scream screams (enhance)? : enhances
scream screams (generate)? : generates
scream screams (listen)? : listens
scream screams (provide)? : provides
search searches (sit)? : sits
search searches (speak)? : speaks
search searches (describe)? : describes
search searches (enhance)? : enhances
search searches (listen)? : listens
search searches (provide)? : provides
see sees (implement)? : implements
shuffle shuffles (speak)? : speaks
shuffle shuffles (enhance)? : enhances
shuffle shuffles (generate)? : generates
shuffle shuffles (listen)? : listens
shuffle shuffles (provide)? : provides
sing sings (speak)? : speaks
sing sings (enhance)? : enhances
sing sings (implement)? : implements
sit sits (enhance)? : enhances
sit sits (search)? : searches
slow slows (speak)? : speaks
slow slows (enhance)? : enhances
speak speaks (enhance)? : enhances
speak speaks (implement)? : implements
swim swims (enhance)? : enhances
swim swims (listen)? : listens
swim swims (provide)? : provides
swim swims (search)? : searches
swim swims (speak)? : speaks
talk talks (vanish)? : vanishes
talk talks (enhance)? : enhances
talk talks (generate)? : generates
talk talks (listen)? : listens
talk talks (provide)? : provides
think thinks (enhance)? : enhances
think thinks (generate)? : generates
vanish vanishes (enhance)? : enhances
walk walks (describe)? : describes
walk walks (enhance)? : enhances
work works (enhance)? : enhances
work works (speak)? : speaks
write writes (enhance)? : enhances
write writes (generate)? : generates
write writes (implement)? : implements
write writes (slow)? : slows


./models/inpsmt_e15_d200t200.bin
[           gram3-comparative.txt ] Correct: 46	 Total: 1332 	 Soft1 Acc: 0.03453
[           gram4-superlative.txt ] Correct: 4	 Total: 1122 	 Soft1 Acc: 0.003565
[    gram5-present-participle.txt ] Correct: 44	 Total: 1056 	 Soft1 Acc: 0.04167
[                      family.txt ] Correct: 3	 Total: 506 	 Soft1 Acc: 0.005929
[            gram7-past-tense.txt ] Correct: 15	 Total: 1560 	 Soft1 Acc: 0.009615
[    capital-common-countries.txt ] Correct: 0	 Total: 506 	 Soft1 Acc: 0
[               city-in-state.txt ] Correct: 0	 Total: 2467 	 Soft1 Acc: 0
[              gram2-opposite.txt ] Correct: 79	 Total: 812 	 Soft1 Acc: 0.09729
[          gram9-plural-verbs.txt ] Correct: 87	 Total: 870 	 Soft1 Acc: 0.1
[                    currency.txt ] Correct: 0	 Total: 866 	 Soft1 Acc: 0
