--------------------- capital-common-countries.txt---------------------

--------------------- capital-world.txt---------------------

--------------------- city-in-state.txt---------------------

--------------------- currency.txt---------------------

--------------------- family.txt---------------------
dad mom (man)? : woman
swift swiftly (cheerful)? : cheerfully
typical typically (unfortunate)? : unfortunately
typical typically (amazing)? : amazingly
typical typically (cheerful)? : cheerfully
unfortunate unfortunately (amazing)? : amazingly
unfortunate unfortunately (cheerful)? : cheerfully
usual usually (amazing)? : amazingly
usual usually (cheerful)? : cheerfully
usual usually (unfortunate)? : unfortunately

--------------------- gram2-opposite.txt---------------------
acceptable unacceptable (reasonable)? : unreasonable
acceptable unacceptable (tasteful)? : distasteful
aware unaware (reasonable)? : unreasonable
aware unaware (tasteful)? : distasteful
certain uncertain (possible)? : impossible
certain uncertain (productive)? : unproductive
certain uncertain (reasonable)? : unreasonable
clear unclear (possibly)? : impossibly
clear unclear (reasonable)? : unreasonable
clear unclear (tasteful)? : distasteful
comfortable uncomfortable (reasonable)? : unreasonable
comfortable uncomfortable (tasteful)? : distasteful
competitive uncompetitive (tasteful)? : distasteful
consistent inconsistent (likely)? : unlikely
consistent inconsistent (tasteful)? : distasteful
convincing unconvincing (reasonable)? : unreasonable
convincing unconvincing (tasteful)? : distasteful
convenient inconvenient (likely)? : unlikely
convenient inconvenient (reasonable)? : unreasonable
convenient inconvenient (tasteful)? : distasteful
decided undecided (tasteful)? : distasteful
efficient inefficient (reasonable)? : unreasonable
efficient inefficient (tasteful)? : distasteful
ethical unethical (likely)? : unlikely
ethical unethical (reasonable)? : unreasonable
ethical unethical (tasteful)? : distasteful
ethical unethical (aware)? : unaware
fortunate unfortunate (likely)? : unlikely
fortunate unfortunate (logical)? : illogical
fortunate unfortunate (reasonable)? : unreasonable
fortunate unfortunate (tasteful)? : distasteful
honest dishonest (likely)? : unlikely
honest dishonest (reasonable)? : unreasonable
honest dishonest (tasteful)? : distasteful
impressive unimpressive (likely)? : unlikely
impressive unimpressive (reasonable)? : unreasonable
impressive unimpressive (tasteful)? : distasteful
informative uninformative (reasonable)? : unreasonable
informative uninformative (tasteful)? : distasteful
informative uninformative (competitive)? : uncompetitive
informed uninformed (likely)? : unlikely
informed uninformed (logical)? : illogical
informed uninformed (reasonable)? : unreasonable
informed uninformed (tasteful)? : distasteful
informed uninformed (aware)? : unaware
informed uninformed (competitive)? : uncompetitive
known unknown (tasteful)? : distasteful
known unknown (honest)? : dishonest
likely unlikely (reasonable)? : unreasonable
likely unlikely (responsible)? : irresponsible
likely unlikely (tasteful)? : distasteful
logical illogical (reasonable)? : unreasonable
logical illogical (tasteful)? : distasteful
logical illogical (likely)? : unlikely
pleasant unpleasant (tasteful)? : distasteful
possible impossible (reasonable)? : unreasonable
possible impossible (responsible)? : irresponsible
possible impossible (tasteful)? : distasteful
possibly impossibly (rational)? : irrational
possibly impossibly (reasonable)? : unreasonable
possibly impossibly (tasteful)? : distasteful
possibly impossibly (logical)? : illogical
productive unproductive (tasteful)? : distasteful
productive unproductive (likely)? : unlikely
productive unproductive (logical)? : illogical
rational irrational (reasonable)? : unreasonable
rational irrational (tasteful)? : distasteful
rational irrational (aware)? : unaware
rational irrational (likely)? : unlikely
reasonable unreasonable (tasteful)? : distasteful
reasonable unreasonable (likely)? : unlikely
responsible irresponsible (tasteful)? : distasteful
responsible irresponsible (aware)? : unaware
responsible irresponsible (reasonable)? : unreasonable
sure unsure (tasteful)? : distasteful
sure unsure (possibly)? : impossibly
tasteful distasteful (ethical)? : unethical
tasteful distasteful (likely)? : unlikely
tasteful distasteful (possibly)? : impossibly
tasteful distasteful (reasonable)? : unreasonable

--------------------- gram3-comparative.txt---------------------
bright brighter (smart)? : smarter
cheap cheaper (smart)? : smarter
cold colder (smart)? : smarter
deep deeper (smart)? : smarter
easy easier (smart)? : smarter
hard harder (smart)? : smarter
heavy heavier (smart)? : smarter
high higher (smart)? : smarter
large larger (smart)? : smarter
loud louder (smart)? : smarter
low lower (smart)? : smarter
new newer (smart)? : smarter
new newer (tough)? : tougher
new newer (deep)? : deeper
old older (smart)? : smarter
quick quicker (smart)? : smarter
slow slower (smart)? : smarter
small smaller (smart)? : smarter
strong stronger (smart)? : smarter
tall taller (smart)? : smarter
tight tighter (smart)? : smarter
tough tougher (smart)? : smarter
warm warmer (smart)? : smarter
young younger (smart)? : smarter

--------------------- gram4-superlative.txt---------------------

--------------------- gram5-present-participle.txt---------------------
dance dancing (scream)? : screaming
debug debugging (scream)? : screaming
decrease decreasing (scream)? : screaming
decrease decreasing (sing)? : singing
describe describing (sing)? : singing
enhance enhancing (scream)? : screaming
enhance enhancing (sing)? : singing
increase increasing (scream)? : screaming
increase increasing (sing)? : singing
listen listening (scream)? : screaming
look looking (sing)? : singing
move moving (scream)? : screaming
move moving (sing)? : singing
shuffle shuffling (sing)? : singing
sing singing (run)? : running
sing singing (scream)? : screaming
swim swimming (scream)? : screaming
think thinking (scream)? : screaming

--------------------- gram6-nationality-adjective.txt---------------------
Brazil Brazilian (Moldova)? : Moldovan
Chile Chilean (Moldova)? : Moldovan
Colombia Colombian (Moldova)? : Moldovan
England English (Moldova)? : Moldovan
India Indian (Moldova)? : Moldovan
Malta Maltese (Moldova)? : Moldovan
Mexico Mexican (Moldova)? : Moldovan
Peru Peruvian (Moldova)? : Moldovan
Portugal Portuguese (Moldova)? : Moldovan
Sweden Swedish (Moldova)? : Moldovan

--------------------- gram7-past-tense.txt---------------------

--------------------- gram8-plural.txt---------------------
banana bananas (color)? : colors
banana bananas (onion)? : onions
banana bananas (rat)? : rats
bird birds (onion)? : onions
bird birds (rat)? : rats
bird birds (banana)? : bananas
bottle bottles (onion)? : onions
bottle bottles (banana)? : bananas
building buildings (horse)? : horses
building buildings (onion)? : onions
building buildings (banana)? : bananas
car cars (cow)? : cows
car cars (onion)? : onions
car cars (rat)? : rats
car cars (banana)? : bananas
cat cats (onion)? : onions
cat cats (banana)? : bananas
child children (onion)? : onions
child children (rat)? : rats
child children (banana)? : bananas
cloud clouds (onion)? : onions
cloud clouds (pear)? : pears
cloud clouds (banana)? : bananas
color colors (onion)? : onions
color colors (rat)? : rats
color colors (banana)? : bananas
computer computers (onion)? : onions
computer computers (pear)? : pears
computer computers (banana)? : bananas
cow cows (finger)? : fingers
cow cows (lion)? : lions
cow cows (onion)? : onions
cow cows (pear)? : pears
dog dogs (finger)? : fingers
dog dogs (onion)? : onions
dog dogs (rat)? : rats
dog dogs (banana)? : bananas
dollar dollars (onion)? : onions
dollar dollars (rat)? : rats
dollar dollars (banana)? : bananas
donkey donkeys (finger)? : fingers
donkey donkeys (onion)? : onions
donkey donkeys (pear)? : pears
donkey donkeys (banana)? : bananas
dream dreams (finger)? : fingers
dream dreams (onion)? : onions
dream dreams (banana)? : bananas
dream dreams (car)? : cars
dream dreams (color)? : colors
eagle eagles (onion)? : onions
eagle eagles (rat)? : rats
eagle eagles (banana)? : bananas
elephant elephants (onion)? : onions
elephant elephants (rat)? : rats
elephant elephants (banana)? : bananas
eye eyes (finger)? : fingers
eye eyes (lion)? : lions
eye eyes (monkey)? : monkeys
eye eyes (onion)? : onions
eye eyes (rat)? : rats
eye eyes (banana)? : bananas
eye eyes (bottle)? : bottles
eye eyes (cow)? : cows
finger fingers (monkey)? : monkeys
finger fingers (onion)? : onions
finger fingers (rat)? : rats
finger fingers (banana)? : bananas
goat goats (onion)? : onions
goat goats (banana)? : bananas
goat goats (finger)? : fingers
hand hands (horse)? : horses
hand hands (monkey)? : monkeys
hand hands (onion)? : onions
hand hands (banana)? : bananas
hand hands (finger)? : fingers
horse horses (onion)? : onions
horse horses (banana)? : bananas
horse horses (finger)? : fingers
lion lions (pear)? : pears
lion lions (rat)? : rats
lion lions (banana)? : bananas
machine machines (onion)? : onions
machine machines (pear)? : pears
machine machines (banana)? : bananas
machine machines (finger)? : fingers
mango mangoes (onion)? : onions
mango mangoes (rat)? : rats
mango mangoes (banana)? : bananas
mango mangoes (color)? : colors
mango mangoes (finger)? : fingers
mango mangoes (lion)? : lions
man men (onion)? : onions
man men (banana)? : bananas
man men (cow)? : cows
melon melons (onion)? : onions
melon melons (rat)? : rats
melon melons (banana)? : bananas
monkey monkeys (onion)? : onions
monkey monkeys (pear)? : pears
monkey monkeys (banana)? : bananas
monkey monkeys (finger)? : fingers
mouse mice (onion)? : onions
mouse mice (finger)? : fingers
onion onions (banana)? : bananas
onion onions (cow)? : cows
pear pears (rat)? : rats
pear pears (road)? : roads
pear pears (banana)? : bananas
pear pears (car)? : cars
pear pears (color)? : colors
pear pears (cow)? : cows
pear pears (finger)? : fingers
pear pears (horse)? : horses
pear pears (lion)? : lions
pear pears (monkey)? : monkeys
pear pears (onion)? : onions
pig pigs (banana)? : bananas
pig pigs (finger)? : fingers
pig pigs (onion)? : onions
pineapple pineapples (rat)? : rats
pineapple pineapples (banana)? : bananas
pineapple pineapples (lion)? : lions
pineapple pineapples (onion)? : onions
rat rats (banana)? : bananas
rat rats (onion)? : onions
road roads (onion)? : onions
road roads (pear)? : pears
snake snakes (banana)? : bananas
snake snakes (color)? : colors
snake snakes (finger)? : fingers
snake snakes (onion)? : onions
snake snakes (rat)? : rats
woman women (banana)? : bananas
woman women (onion)? : onions

--------------------- gram9-plural-verbs.txt---------------------
decrease decreases (enhance)? : enhances
describe describes (enhance)? : enhances
describe describes (implement)? : implements
eat eats (enhance)? : enhances
eat eats (predict)? : predicts
eat eats (vanish)? : vanishes
enhance enhances (generate)? : generates
enhance enhances (listen)? : listens
estimate estimates (generate)? : generates
estimate estimates (slow)? : slows
estimate estimates (vanish)? : vanishes
estimate estimates (enhance)? : enhances
find finds (implement)? : implements
find finds (listen)? : listens
find finds (enhance)? : enhances
generate generates (implement)? : implements
generate generates (enhance)? : enhances
go goes (implement)? : implements
go goes (predict)? : predicts
go goes (enhance)? : enhances
implement implements (vanish)? : vanishes
implement implements (enhance)? : enhances
implement implements (generate)? : generates
increase increases (enhance)? : enhances
listen listens (vanish)? : vanishes
listen listens (enhance)? : enhances
predict predicts (enhance)? : enhances
provide provides (enhance)? : enhances
provide provides (implement)? : implements
say says (vanish)? : vanishes
say says (enhance)? : enhances
say says (generate)? : generates
say says (implement)? : implements
scream screams (vanish)? : vanishes
scream screams (enhance)? : enhances
scream screams (generate)? : generates
search searches (slow)? : slows
search searches (eat)? : eats
search searches (listen)? : listens
see sees (enhance)? : enhances
see sees (implement)? : implements
shuffle shuffles (slow)? : slows
shuffle shuffles (vanish)? : vanishes
shuffle shuffles (enhance)? : enhances
shuffle shuffles (generate)? : generates
shuffle shuffles (listen)? : listens
sit sits (enhance)? : enhances
sit sits (implement)? : implements
sit sits (predict)? : predicts
slow slows (enhance)? : enhances
slow slows (implement)? : implements
speak speaks (enhance)? : enhances
speak speaks (implement)? : implements
speak speaks (predict)? : predicts
swim swims (enhance)? : enhances
swim swims (generate)? : generates
swim swims (listen)? : listens
talk talks (eat)? : eats
talk talks (enhance)? : enhances
think thinks (enhance)? : enhances
think thinks (implement)? : implements
think thinks (listen)? : listens
think thinks (predict)? : predicts
think thinks (swim)? : swims
vanish vanishes (enhance)? : enhances
vanish vanishes (implement)? : implements
walk walks (enhance)? : enhances
walk walks (generate)? : generates
walk walks (predict)? : predicts
walk walks (slow)? : slows
work works (enhance)? : enhances
work works (predict)? : predicts
work works (vanish)? : vanishes
write writes (enhance)? : enhances
write writes (implement)? : implements
write writes (listen)? : listens


./models/enwik_e15_d200.bin
[    gram1-adjective-to-averb.txt ] Correct: 99	 Total: 992 	 Soft1 Acc: 0.0998
[                gram8-plural.txt ] Correct: 134	 Total: 1332 	 Soft1 Acc: 0.1006
[           gram3-comparative.txt ] Correct: 24	 Total: 1332 	 Soft1 Acc: 0.01802
[ gram6-nationality-adjective.txt ] Correct: 10	 Total: 1599 	 Soft1 Acc: 0.006254
[                      family.txt ] Correct: 3	 Total: 506 	 Soft1 Acc: 0.005929
[            gram7-past-tense.txt ] Correct: 0	 Total: 1560 	 Soft1 Acc: 0
[          gram9-plural-verbs.txt ] Correct: 76	 Total: 870 	 Soft1 Acc: 0.08736
[               capital-world.txt ] Correct: 0	 Total: 4524 	 Soft1 Acc: 0
[              gram2-opposite.txt ] Correct: 80	 Total: 812 	 Soft1 Acc: 0.09852
[           gram4-superlative.txt ] Correct: 0	 Total: 1122 	 Soft1 Acc: 0
[                    currency.txt ] Correct: 0	 Total: 866 	 Soft1 Acc: 0
[    capital-common-countries.txt ] Correct: 0	 Total: 506 	 Soft1 Acc: 0
[    gram5-present-participle.txt ] Correct: 18	 Total: 1056 	 Soft1 Acc: 0.01705
[               city-in-state.txt ] Correct: 0	 Total: 2467 	 Soft1 Acc: 0
Elapsed Time: 527.8 second.
Mean accuracy: 0.03097%  

